State,Areaname,2003Rural-urbanContinuumCode,2003UrbanInfluenceCode,2013Rural-urbanContinuumCode,2013UrbanInfluenceCode,"Lessthanahighschooldiploma,1970","Highschooldiplomaonly,1970","Percentofadultswithlessthanahighschooldiploma,1970","Percentofadultswithlessthanahighschooldiploma,2010-2014","Percentofadultswithahighschooldiplomaonly,2010-2014","Percentofadultscompletingsomecollegeorassociate'sdegree,2010-2014","Percentofadultswithabachelor'sdegreeorhigher,2010-2014"
IN,ParkeCounty,6,6,6,4,3933,3533,45.9,15.3,41.8,28.6,14.3
IN,PerryCounty,6,9,6,6,6205,2909,61.4,15.5,49.2,24.8,10.4
IN,PikeCounty,6,5,8,5,4314,2379,57.9,12.7,48.9,26.5,12
IN,PorterCounty,1,1,1,1,16677,16622,39.5,8.4,34.7,30.5,26.4
IN,PoseyCounty,2,2,2,2,6105,4394,51.2,7.3,38.4,32.9,21.3
IN,PulaskiCounty,6,4,6,4,3468,2539,50,15.2,45.1,27.7,12
IN,PutnamCounty,1,1,1,1,6397,5417,45.1,12.6,42.4,29.5,15.5
IN,RandolphCounty,6,6,6,6,7860,6591,48.5,15.2,43.9,28.3,12.6
IN,RipleyCounty,6,4,6,4,6450,3954,56.3,12.9,45.2,25.1,16.8
IN,RushCounty,6,4,6,4,5431,4277,49.5,14.2,49.2,21.9,14.7
IN,St.JosephCounty,2,2,2,2,60275,47010,46,11.6,32,29.3,27.2
IN,ScottCounty,6,3,1,1,5379,2485,61.4,19.4,40.7,26.7,13.2
IN,ShelbyCounty,1,1,1,1,10163,7568,50,13.5,43.3,28.2,15
IN,SpencerCounty,8,7,8,7,5299,3023,56.9,12.6,43.3,28.7,15.4
IN,StarkeCounty,6,6,6,4,5971,3389,57.8,17.5,43.4,27.8,11.2
IN,SteubenCounty,7,8,7,8,3942,4479,37.1,11,38.3,30.6,20.1
IN,SullivanCounty,3,2,3,2,6380,4460,52.6,14.4,41.1,31.6,13
IN,SwitzerlandCounty,8,4,8,4,2453,1007,65.5,17.6,47.4,26.3,8.7
IN,TippecanoeCounty,3,2,3,2,16262,17958,32.3,9.2,27.7,27.9,35.2
IN,TiptonCounty,3,2,6,4,4227,3765,45.7,12.1,40.1,30.5,17.3
IN,UnionCounty,8,4,1,1,1768,1402,49.4,12.6,39.6,28.6,19.3
IN,VanderburghCounty,2,2,2,2,44379,33212,46.7,10.4,34.3,31.9,23.5
IN,VermillionCounty,3,2,3,2,5732,3452,56.7,11.3,46.3,29.2,13.2
IN,VigoCounty,3,2,3,2,29461,20215,48.2,13.1,34.5,30.8,21.6
IN,WabashCounty,6,5,6,5,8016,7739,42.7,12,43.9,27,17.1
IN,WarrenCounty,8,7,8,7,2437,1927,50.2,13.7,41.8,27.2,17.2
IN,WarrickCounty,2,2,2,2,6969,5897,46,7,32.9,33.3,26.8
IN,WashingtonCounty,1,1,1,1,6280,3222,59.6,19.1,45.3,23.4,12.2
IN,WayneCounty,5,8,5,8,21269,15653,48.7,15.8,38.8,27.8,17.7
IN,WellsCounty,2,2,2,2,5479,5445,42.8,10.4,41.6,31.4,16.6
IN,WhiteCounty,6,6,6,6,5249,5169,44,11.2,43.1,30.5,15.1
IN,WhitleyCounty,2,2,2,2,5138,5714,41.2,8.9,42.3,30.7,18.1
IA,Iowa,,,,,632366,596649,41,8.7,32.5,32.4,26.4
IA,AdairCounty,8,7,8,7,2568,2392,43.5,8.2,43.1,33.5,15.2
IA,AdamsCounty,9,12,9,12,1862,1444,47.2,9.5,41.7,34.2,14.7
IA,AllamakeeCounty,6,6,6,6,4240,3110,50.6,11.7,43.6,28.8,15.9
IA,AppanooseCounty,7,9,7,9,4866,3150,53.1,12.4,36.4,32.8,18.4
IA,AudubonCounty,8,7,8,7,3002,2026,53.5,8.9,43.3,31.3,16.4
IA,BentonCounty,3,2,2,2,5664,5226,44,7.9,37.5,34.5,20
IA,BlackHawkCounty,3,2,3,2,25090,26715,37.6,10.3,33.4,30.1,26.2
IA,BooneCounty,6,5,6,5,6623,6130,42.7,6.1,36.4,35,22.5
IA,BremerCounty,3,2,3,2,5089,4408,42.4,5.7,33.8,32.3,28.2
IA,BuchananCounty,6,6,6,6,4760,4794,41.9,8.3,42.6,31.8,17.3
IA,BuenaVistaCounty,7,8,7,8,4377,4810,37.2,21.1,30.5,28.8,19.7
IA,ButlerCounty,8,7,8,7,4985,3450,50.8,8.5,41.5,34.5,15.5
IA,CalhounCounty,9,10,9,10,3740,3319,43.3,9.5,36.2,35.4,18.9
IA,CarrollCounty,7,11,7,11,6259,4062,51.5,8.4,41.2,32.2,18.2
IA,CassCounty,6,6,6,6,4229,4159,40.8,7.5,44.1,28.4,20
IA,CedarCounty,6,6,6,6,4362,3942,42.9,7.9,37.5,33.7,20.8
IA,CerroGordoCounty,5,8,5,8,10629,10478,38.4,7,32.8,38.2,22
IA,CherokeeCounty,6,6,6,6,3672,4109,37.8,8.5,35.9,35.1,20.5
IA,ChickasawCounty,6,6,6,6,4016,3065,49.5,10.7,44,30.8,14.5
IA,ClarkeCounty,6,6,6,6,2206,1983,46.4,12.3,43.2,28.8,15.7
IA,ClayCounty,7,8,7,8,3616,4580,34.7,6.4,38.1,36.9,18.5
IA,ClaytonCounty,8,7,8,7,6361,4055,53.8,8.2,45,30.6,16.2
IA,ClintonCounty,4,5,4,5,12825,12467,41.5,9.4,36.2,35.2,19.2
IA,CrawfordCounty,6,6,7,11,4989,3876,48.4,21.9,36.9,26.9,14.3
IA,DallasCounty,2,2,2,2,5456,6668,36.9,5.6,21.9,28.8,43.7
IA,DavisCounty,9,9,9,8,2596,1665,51.7,13.7,37.5,32,16.8
IA,DecaturCounty,9,12,9,12,2713,1871,49.4,13.7,37.1,30,19.2
IA,DelawareCounty,6,6,6,6,4424,3851,46.2,10,44,31.1,14.9
IA,DesMoinesCounty,5,8,5,8,10900,10599,41.2,9.3,34.3,36.2,20.2
IA,DickinsonCounty,7,8,7,8,2963,3116,39.2,5,31.6,38.2,25.2
IA,DubuqueCounty,3,2,3,2,19857,15311,45.4,8.1,35.8,28.3,27.8
IA,EmmetCounty,7,9,7,9,3289,2816,43.2,11.6,34.8,38.8,14.8
IA,FayetteCounty,6,6,6,6,6569,5783,44.5,10.5,40.1,30.9,18.4
IA,FloydCounty,7,9,7,9,4554,4864,39.6,10.5,37.9,34.7,17
IA,FranklinCounty,7,9,7,9,3704,2917,45.9,14.3,35.7,33.7,16.3
IA,FremontCounty,8,6,8,6,2377,2251,41.4,7.7,39.5,31.9,20.9
IA,GreeneCounty,6,6,6,6,3097,3111,40.6,9.4,35.3,37.9,17.3
IA,GrundyCounty,3,2,3,2,3575,3195,43.2,5.8,36.5,37.2,20.5
IA,GuthrieCounty,2,2,2,2,3641,3034,48.4,7.8,39.2,35,18
IA,HamiltonCounty,6,6,6,6,4040,4444,38,9.2,34.3,37.5,19
IA,HancockCounty,7,9,7,9,3368,3034,43.7,7.7,37.8,36.6,17.9
IA,HardinCounty,6,6,6,6,5228,4843,40.7,9.3,34.9,36.8,19
IA,HarrisonCounty,2,2,2,2,4571,3905,48.2,8.7,39.6,33.5,18.3
IA,HenryCounty,7,9,6,6,4241,3683,41.3,8.7,35.9,34.8,20.5
IA,HowardCounty,7,11,6,6,3484,2458,51.9,12.4,44.6,31.3,11.7
IA,HumboldtCounty,7,9,7,9,2786,3070,39,8.4,38.1,36.8,16.6
IA,IdaCounty,8,7,8,7,2562,2107,46.4,10,38.2,33,18.8
IA,IowaCounty,8,6,6,6,3980,3545,45.2,7,38.1,33.2,21.7
IA,JacksonCounty,6,6,6,6,5672,3995,50.7,9.6,45.2,31.1,14.1
IA,JasperCounty,6,5,6,5,8673,8110,43.1,8.6,40,33.7,17.7
IA,JeffersonCounty,7,9,7,8,3488,3392,40.3,5.3,32,29.7,33
IA,JohnsonCounty,3,2,3,2,7443,9739,23.5,5.2,16.4,26.7,51.7
IA,JonesCounty,3,2,2,2,4776,4243,44.4,8.6,40.7,35,15.7
IA,KeokukCounty,8,7,8,7,3582,3551,42.9,9.5,42.8,32.4,15.3
IA,KossuthCounty,7,11,7,11,5299,5175,42.2,6.6,35.9,38,19.4
IA,LeeCounty,5,8,5,8,10907,9448,44.6,9,42.5,32.9,15.5
IA,LinnCounty,3,2,2,2,27404,36568,32.3,5.9,27.2,35.2,31.7
IA,LouisaCounty,8,5,8,7,2365,2546,39.1,16.9,39.3,29.6,14.2
IA,LucasCounty,6,6,6,6,3024,2485,47.7,9.4,45.3,32.7,12.7
IA,LyonCounty,8,6,8,6,4016,2213,55.3,9.4,38.5,32.5,19.6
IA,MadisonCounty,2,2,2,2,2868,3153,40.9,5.6,39.8,32.9,21.7
IA,MahaskaCounty,7,8,7,8,6270,4747,48,9.2,38.1,30.3,22.4
IA,MarionCounty,6,6,6,6,7729,5072,51.2,7.2,35,33.8,24
IA,MarshallCounty,4,5,4,5,8798,9337,38.4,15.3,32.9,31.6,20.1
IA,MillsCounty,2,2,2,2,2698,2898,41.2,6.3,36.2,33.1,24.4
IA,MitchellCounty,7,9,7,9,3402,2857,45.8,9.4,44.4,31.2,15.1
IA,MononaCounty,6,6,6,6,3448,2823,46.8,8.9,44.7,32.4,14
IA,MonroeCounty,7,9,7,9,2826,2161,50,11.8,44.1,26.9,17.3
IA,MontgomeryCounty,6,6,6,6,3453,3017,43.1,12.1,36.3,36.2,15.4
IA,MuscatineCounty,4,5,4,5,9692,6766,47.6,14.9,34.4,32.6,18.2
IA,O'BrienCounty,7,9,7,9,4787,3556,47.3,8.6,38.7,33.3,19.5
IA,OsceolaCounty,7,9,7,9,2706,1571,55.6,12.8,39.2,33.6,14.4
IA,PageCounty,7,11,6,6,4993,4304,42.8,11.3,36.2,34.3,18.3
IA,PaloAltoCounty,7,9,7,9,3122,2970,42.1,8.1,33.3,40.3,18.3
IA,PlymouthCounty,6,6,3,2,5812,4572,45.8,7.7,36.4,35.9,20
IA,PocahontasCounty,9,10,9,10,2938,3071,40.2,7.1,39.3,35.3,18.2
IA,PolkCounty,2,2,2,2,49233,63834,32,8.1,25.7,30.9,35.4
IA,PottawattamieCounty,2,2,2,2,21041,18320,45.9,10.4,35.6,34.4,19.7
IA,PoweshiekCounty,7,9,7,9,3755,4285,36.6,8,35.8,30.8,25.4
IA,RinggoldCounty,9,12,9,12,1831,1761,44.9,12,37.2,31.9,18.9
IA,SacCounty,9,10,9,10,4101,3548,44.8,8.3,40.6,31.6,19.4
IA,ScottCounty,2,2,2,2,31217,26936,42.1,7.4,27.9,32.8,31.9
IA,ShelbyCounty,6,6,6,6,3661,3518,43.3,8.4,39.1,32.8,19.7
IA,SiouxCounty,6,6,7,11,7940,3856,56.2,11.4,32.6,31.1,24.9
IA,StoryCounty,3,2,3,2,6506,9146,23.8,4.2,18.7,28.5,48.5
IA,TamaCounty,6,6,6,6,5407,4658,46.1,9.6,40.5,33.8,16.2
IA,TaylorCounty,9,10,9,10,2672,2186,47.3,9.1,41.8,33.8,15.3
IA,UnionCounty,6,6,6,6,3344,3296,41.2,8.8,37.2,37.5,16.6
IA,VanBurenCounty,9,10,9,10,2553,2087,47.4,11.4,42,32.6,14
IA,WapelloCounty,5,8,5,8,12247,8893,49.4,16,38,30.7,15.3
IA,WarrenCounty,2,2,2,2,4393,6692,31.5,4.2,32.9,34.3,28.5
IA,WashingtonCounty,3,2,3,2,4793,4161,44.1,9.9,34.9,33.6,21.5
IA,WayneCounty,9,12,9,12,2563,2199,46.4,10.6,44.3,31.3,13.8
IA,WebsterCounty,5,8,5,8,10497,10068,39.8,9.6,32.8,38.4,19.1
IA,WinnebagoCounty,7,9,7,9,3294,2632,44.3,7.4,35,36.3,21.3
IA,WinneshiekCounty,7,11,7,11,5725,3304,52.1,6.3,37.5,29.4,26.8
IA,WoodburyCounty,3,2,3,2,22736,20932,40.7,14.6,33.4,30.7,21.3
IA,WorthCounty,9,8,9,8,2526,2022,46.5,8.3,34.1,41.8,15.7
IA,WrightCounty,7,9,7,9,4135,4084,40.3,10.2,37.5,35,17.3
KS,Kansas,,,,,492098,438583,40.1,10,27.2,32.1,30.7
KS,AllenCounty,7,11,7,11,4690,2664,51.3,10.3,34.5,39.1,16.1
KS,AndersonCounty,6,4,6,4,2735,1699,53.2,11.5,39,32.1,17.5
KS,AtchisonCounty,6,3,6,3,4516,3720,44,8.2,43.2,29.6,19
KS,BarberCounty,9,12,9,12,1739,1680,39.9,7.9,37.8,36.2,18.1
KS,BartonCounty,7,8,7,8,6872,6437,40.6,14.2,32.3,36.2,17.3
KS,BourbonCounty,6,4,6,4,4757,3070,49.7,11.9,31.4,35.3,21.4
KS,BrownCounty,6,6,6,6,3381,2795,45.3,8.1,41.1,31.2,19.6
KS,ButlerCounty,2,2,2,2,8378,8283,38.8,7,26.9,38.6,27.5
KS,ChaseCounty,8,5,9,10,950,857,43.2,8.4,33.7,33.2,24.7
KS,ChautauquaCounty,9,10,8,7,1749,957,54.6,12.3,37.4,32.6,17.7
KS,CherokeeCounty,6,6,6,6,7086,4217,54.8,13.4,34.1,36.3,16.1
KS,CheyenneCounty,9,12,9,12,1408,851,53.4,9.5,32.5,39.3,18.7
KS,ClarkCounty,9,10,9,10,760,646,40.2,6.8,26,36.4,30.7
KS,ClayCounty,7,9,6,6,2914,2358,46.5,3.9,34,39.9,22.3
KS,CloudCounty,7,9,7,9,3658,2768,45.3,9.2,35,38.6,17.2
KS,CoffeyCounty,6,4,6,6,2395,1678,49.9,8,38,34.3,19.7
KS,ComancheCounty,9,12,9,12,681,602,39.5,7.7,26.8,39.4,26
KS,CowleyCounty,4,5,4,5,9420,7016,44.9,11.2,28.4,41.1,19.4
KS,CrawfordCounty,4,5,4,5,10483,6652,48.1,10.2,28.3,32.6,28.9
KS,DecaturCounty,9,12,9,12,1464,1125,47.8,10.1,35.9,30.7,23.3
KS,DickinsonCounty,7,9,7,9,4756,4862,39.6,9.9,36.9,34.5,18.7
KS,DoniphanCounty,3,2,3,2,2629,1648,51.2,9.4,38.5,34.5,17.6
KS,DouglasCounty,3,2,3,2,7813,7238,31.8,5.4,19.6,25.6,49.4
KS,EdwardsCounty,9,10,9,10,1130,988,40,15.5,30.9,31.9,21.7
KS,ElkCounty,8,7,8,7,1409,846,53.3,10.9,33.8,36.4,18.9
KS,EllisCounty,5,8,5,8,4383,3333,40.4,6.8,28.1,32.8,32.3
KS,EllsworthCounty,7,9,7,9,1918,1233,48.6,10.8,32.4,35.7,21.1
KS,FinneyCounty,5,8,5,8,3709,3204,40.3,28.9,24.3,28.2,18.6
KS,FordCounty,5,8,5,8,4733,3990,39.2,31.3,22.9,28.7,17
KS,FranklinCounty,1,1,6,3,5114,4174,44.7,8.3,37.1,33.7,21
KS,GearyCounty,5,8,4,5,4005,5015,34.7,8.9,30.6,40.9,19.7
KS,GoveCounty,9,12,9,12,900,853,41.6,5.5,38.4,34.3,21.7
KS,GrahamCounty,9,12,9,12,1239,830,46.7,6.6,32.8,35,25.6
KS,GrantCounty,7,11,7,9,1307,990,43.6,29.3,29.5,22.7,18.5
KS,GrayCounty,9,10,9,10,1231,849,47.3,24.4,26.4,29,20.2
KS,GreeleyCounty,9,12,9,12,390,428,34.6,10.8,33.8,35.3,20
KS,GreenwoodCounty,6,6,6,6,2853,2002,48.4,10.2,42.2,32.2,15.4
KS,HamiltonCounty,9,12,9,10,573,634,35.8,22.5,29.6,34.8,13.1
KS,HarperCounty,8,7,8,7,2271,2052,43.5,11,35.4,34.5,19.1
KS,HarveyCounty,2,2,2,2,5743,5777,37.3,10.4,30.3,33.4,25.8
KS,HaskellCounty,9,10,9,10,631,745,33.7,29.2,23.7,29.5,17.6
KS,HodgemanCounty,9,10,9,10,626,618,41.3,10.2,27.3,41.5,21
KS,JacksonCounty,3,2,3,2,2534,2761,41.2,5.9,40.1,35.8,18.1
KS,JeffersonCounty,3,2,3,2,2898,2970,42.6,6.9,41,31.1,21
KS,JewellCounty,9,12,9,12,1655,1732,42,7.2,39.5,39.2,14.1
KS,JohnsonCounty,1,1,1,1,23603,41644,20.4,4.3,15.4,28.2,52.1
KS,KearnyCounty,9,10,9,8,672,577,41.3,18.9,23.7,39.7,17.8
KS,KingmanCounty,6,6,2,2,2212,1991,42.1,10.7,33.2,37.2,18.9
KS,KiowaCounty,9,10,9,10,1011,949,38.7,8.5,26.7,42.2,22.6
KS,LabetteCounty,7,8,7,8,7254,5105,48.2,11.7,31.8,36.4,20.1
KS,LaneCounty,9,10,9,12,642,687,40.5,7,34.2,34.8,24
KS,LeavenworthCounty,1,1,1,1,13496,9295,46,8.2,31.5,30.5,29.8
KS,LincolnCounty,9,10,9,10,1500,1092,48.6,8.3,31.7,39,21.1
KS,LinnCounty,1,1,1,1,2688,1753,53.4,11,36.3,38.4,14.3
KS,LoganCounty,9,12,9,12,918,763,42.8,7,36.9,37.7,18.5
KS,LyonCounty,5,8,4,5,5282,5247,34.5,12.9,34.3,27.8,25
KS,McPhersonCounty,6,5,7,8,5681,4740,40.6,11.1,29.1,33.1,26.7
KS,MarionCounty,6,6,6,6,4135,2750,48.7,11.2,35.1,31.1,22.6
KS,MarshallCounty,7,9,6,6,4172,3133,50,7.7,44.9,31.6,15.7
KS,MeadeCounty,9,10,9,10,1263,1001,43.4,12.5,31.4,34.1,22
KS,MiamiCounty,1,1,1,1,5361,4400,46.9,6.2,31.9,38.8,23.2
KS,MitchellCounty,7,11,7,11,1977,1935,41.1,5.4,35.7,36.8,22.1
KS,MontgomeryCounty,5,8,5,8,11867,7806,48.4,11.4,33,39.2,16.4
KS,MorrisCounty,9,9,8,6,1940,1591,46.7,10.4,39,33.6,16.9
KS,MortonCounty,9,10,9,12,684,828,35.5,14,32.9,36.1,17
KS,NemahaCounty,8,6,6,6,3600,2424,52.4,9.4,43.6,25.1,21.9
KS,NeoshoCounty,7,9,7,9,5216,3591,46.4,8.1,33.4,40.1,18.4
KS,NessCounty,9,12,9,12,1409,1049,47.6,8.4,39.1,33.3,19.1
KS,NortonCounty,7,11,7,11,2041,1716,45.6,13.9,32.9,37.3,16
KS,OsageCounty,3,2,3,2,3664,3304,45.6,9.4,39.7,30.2,20.7
KS,OsborneCounty,9,12,9,12,1847,1673,44.1,10.5,36.1,33.7,19.7
KS,OttawaCounty,9,8,9,8,1720,1544,43.6,7.3,34,38.9,19.9
KS,PawneeCounty,7,9,7,9,2086,1958,39,11.9,29,36.7,22.4
KS,PhillipsCounty,7,11,7,11,2319,1800,48.3,8.2,35.2,36.2,20.4
KS,PottawatomieCounty,6,5,3,2,2944,2686,42.8,4.1,31.2,32.4,32.2
KS,PrattCounty,7,11,7,11,2301,2233,37.5,11,26.8,37.8,24.4
KS,RawlinsCounty,9,12,9,12,1163,931,45.1,7.4,31,37.7,23.8
KS,RenoCounty,4,5,4,5,13399,12029,39.7,11.6,28.6,40,19.7
KS,RepublicCounty,9,12,9,12,2484,2218,44.6,6.4,37.5,35,21
KS,RiceCounty,7,9,7,9,3053,2674,41.2,11,32.2,35.5,21.4
KS,RileyCounty,5,8,3,2,5249,6522,26.6,4.8,17.6,32.2,45.5
KS,RooksCounty,9,10,9,10,1994,1696,44.7,7.8,36.2,34.4,21.6
KS,RushCounty,9,10,9,10,1663,1045,50.9,10.1,34.2,34.9,20.8
KS,RussellCounty,7,9,7,9,2594,1966,44.7,8.8,34.1,33.3,23.9
KS,SalineCounty,5,8,5,8,8311,9953,34.2,10.8,33.3,31.5,24.5
KS,ScottCounty,7,9,7,9,1289,1132,42.4,16.2,37.1,26.7,20
KS,SedgwickCounty,2,2,2,2,66609,67530,36.6,11.4,26.6,32.6,29.4
KS,SewardCounty,7,8,5,8,3015,3175,37.5,34.8,26,26.5,12.6
KS,ShawneeCounty,3,2,3,2,29065,32105,35.2,9.4,31.3,30.4,28.9
KS,SheridanCounty,9,12,9,12,900,778,43.1,9.7,32.8,36,21.4
KS,ShermanCounty,7,11,7,11,1696,1698,40.7,12.3,31.9,40.7,15.2
KS,SmithCounty,9,12,9,12,2046,1675,46,10,34.7,36.4,18.9
KS,StaffordCounty,9,10,9,10,1580,1468,39.9,11.8,29.4,38.5,20.3
KS,StantonCounty,9,12,9,12,417,399,35.1,20,25.6,36.6,17.9
KS,StevensCounty,7,9,7,9,803,956,34.2,16.7,34.9,32.1,16.3
KS,SumnerCounty,2,2,2,2,6128,5258,44,8.3,37.8,35.5,18.4
KS,ThomasCounty,7,11,7,11,1489,1484,36.1,7.2,25.3,37,30.5
KS,TregoCounty,9,10,9,10,1331,800,50.3,9,32.8,35.1,23.2
KS,WabaunseeCounty,3,2,3,2,1831,1580,46.7,4.4,40.3,33,22.3
KS,WallaceCounty,9,12,9,12,610,392,51.2,9.9,34.3,34.7,21.2
KS,WashingtonCounty,9,10,9,12,3153,2029,54.1,10.2,39.5,34.8,15.5
KS,WichitaCounty,9,12,9,12,683,600,42,20.1,27.9,33.1,18.9
KS,WilsonCounty,7,9,7,10,3521,2532,48.8,17.4,36.3,33.8,12.5
KS,WoodsonCounty,9,12,9,12,1678,982,53.5,11,39.3,31.3,18.4
KS,WyandotteCounty,1,1,1,1,52353,31864,52.7,21.6,32.7,30,15.8
KY,Kentucky,,,,,1053196,412640,61.5,16.5,33.7,28,21.8
KY,AdairCounty,7,9,7,9,5979,1025,78.4,26,36.9,21.5,15.6
KY,AllenCounty,6,6,3,2,5902,1359,76.2,23.4,36.6,26.7,13.3
KY,AndersonCounty,6,5,6,3,3294,1518,61.8,12.6,40.7,28.4,18.4
KY,BallardCounty,9,8,9,8,3150,1579,60.7,16.2,40.8,30.6,12.4
KY,BarrenCounty,6,5,6,5,11734,3160,70.4,20.3,41.3,23.8,14.7
KY,BathCounty,8,5,8,5,4065,747,78.4,24.5,39.3,24.7,11.5
KY,BellCounty,7,8,7,8,12487,2448,74.8,31.5,36.8,21.5,10.2
KY,BooneCounty,1,1,1,1,8756,5383,53,8.1,28.2,32.8,30.8
KY,BourbonCounty,2,2,2,2,6102,2902,58.2,16.8,39,28.4,15.7
KY,BoydCounty,2,2,2,2,15254,8826,51.7,12.2,36.2,34.9,16.7
KY,BoyleCounty,7,8,7,8,6668,3314,55.7,14.4,35.4,28,22.2
KY,BrackenCounty,1,1,1,1,2976,1037,69.9,17.3,42.7,25.4,14.6
KY,BreathittCounty,7,12,7,12,5409,701,78.8,32.5,33.8,22.2,11.5
KY,BreckinridgeCounty,8,7,8,7,6071,1712,73.6,22.6,44.1,23.9,9.4
KY,BullittCounty,1,1,1,1,8033,3417,65.1,14.1,41.1,31.4,13.4
KY,ButlerCounty,8,6,3,2,4452,809,79.7,24.4,44.1,22.7,8.7
KY,CaldwellCounty,6,6,7,9,5034,2232,62.8,12.2,43.3,27.3,17.3
KY,CallowayCounty,7,8,7,8,7984,3015,56.2,13.2,31.3,28,27.5
KY,CampbellCounty,1,1,1,1,28288,13432,59.9,10.8,31.6,29.5,28.1
KY,CarlisleCounty,9,10,9,10,2233,898,65.7,18.2,37.8,30.9,13.1
KY,CarrollCounty,6,4,6,4,3242,1101,67.8,25.6,42.4,20.9,11.1
KY,CarterCounty,6,6,6,6,8024,1629,76.1,22,42.2,24.6,11.1
KY,CaseyCounty,9,10,9,10,5879,813,80.6,29.6,36.9,24.3,9.3
KY,ChristianCounty,3,2,2,2,14996,6687,58.8,14.3,33.7,36.3,15.7
KY,ClarkCounty,2,2,2,2,7829,3306,59.9,16.5,35.7,28,19.9
KY,ClayCounty,7,10,7,10,7254,700,82.8,35.7,36.3,18.5,9.5
KY,ClintonCounty,9,12,9,12,3908,559,82.5,32.3,36.3,22.4,9
KY,CrittendenCounty,6,6,7,9,3498,1263,66.5,20.8,37.8,30.1,11.3
KY,CumberlandCounty,9,10,9,10,3350,476,81.6,27.2,36.4,24.2,12.2
KY,DaviessCounty,3,2,3,2,21100,12579,51.1,12.1,38.3,29.7,19.9
KY,EdmonsonCounty,3,2,3,2,3829,702,80.3,20.2,45.5,22.7,11.6
KY,ElliottCounty,9,12,9,12,2512,320,81.2,26.4,40.1,27.1,6.4
KY,EstillCounty,6,6,6,6,5352,1111,76.9,26,47.4,18.2,8.4
KY,FayetteCounty,2,2,2,2,35622,25863,39.9,10.8,21.1,27.9,40.2
KY,FlemingCounty,7,9,7,9,4745,1334,72.1,23.4,38.4,27.3,10.9
KY,FloydCounty,7,11,7,11,14241,2803,75.5,26.1,33.6,27.4,12.8
KY,FranklinCounty,4,5,4,3,9489,5554,49,13.6,32.2,26.8,27.4
KY,FultonCounty,7,8,9,8,3775,1552,62.2,24.5,36.6,25.8,13.2
KY,GallatinCounty,1,1,1,1,1558,554,67.9,22.2,42.8,25.1,9.9
KY,GarrardCounty,6,6,6,6,3810,1332,68.1,19.3,39.1,25.1,16.5
KY,GrantCounty,1,1,1,1,3829,1442,66.5,18.2,43.5,26.9,11.4
KY,GravesCounty,7,8,7,8,12082,4865,63.7,19.1,37.3,27,16.7
KY,GraysonCounty,6,6,6,6,7207,1272,78.3,24.9,41.9,24.2,9.1
KY,GreenCounty,8,7,8,7,4854,847,78.9,22.5,46.9,19.7,10.8
KY,GreenupCounty,2,2,2,2,10625,4893,61.1,17.1,36.4,30.9,15.7
KY,HancockCounty,3,2,3,2,2289,1092,61.1,12.9,45.2,30.2,11.6
KY,HardinCounty,3,2,3,2,13650,10337,48.3,11,32.6,34.2,22.2
KY,HarlanCounty,7,9,7,10,15083,2994,76.1,29.5,35.8,23.6,11.1
KY,HarrisonCounty,6,6,6,4,5284,2019,62.8,19,40,27.4,13.6
KY,HartCounty,8,7,8,7,6164,1308,77,27.4,42.4,20.4,9.8
KY,HendersonCounty,2,2,2,2,10995,5991,55.8,14.8,37,31.8,16.4
KY,HenryCounty,1,1,1,1,4153,1752,64,19.9,45.3,23.3,11.6
KY,HickmanCounty,9,10,9,10,2446,999,65.4,17.8,38,32.5,11.7
KY,HopkinsCounty,4,5,5,8,14326,5646,64.5,16.3,39.8,30,13.9
KY,JacksonCounty,9,10,9,10,4575,412,86.4,29.8,43.5,18,8.6
KY,JeffersonCounty,1,1,1,1,195373,106330,52.7,11.8,27.5,29.8,30.8
KY,JessamineCounty,2,2,2,2,5024,1822,58.5,15.4,28.2,28.1,28.3
KY,JohnsonCounty,7,11,7,11,7424,1601,74.8,24.5,40,25.1,10.5
KY,KentonCounty,1,1,1,1,39721,19471,57.6,11.3,29.7,30.1,28.9
KY,KnottCounty,9,12,9,12,5828,692,81.2,31.1,35.6,20.5,12.8
KY,KnoxCounty,7,9,7,8,9713,1591,78.1,31.1,40.6,18.1,10.2
KY,LarueCounty,3,2,3,2,4269,1190,70.7,19,44.6,25.7,10.8
KY,LaurelCounty,7,8,5,8,10665,2288,73.2,25.7,37.3,25.1,11.9
KY,LawrenceCounty,6,7,6,7,4670,927,76.8,23.1,40.4,24.7,11.7
KY,LeeCounty,9,12,9,12,2972,337,83.4,28.5,42.2,22.3,7
KY,LeslieCounty,9,12,9,10,4461,428,84,35.5,32.4,23.9,8.2
KY,LetcherCounty,9,12,9,10,9808,1510,80.7,24.8,36.9,26.4,11.9
KY,LewisCounty,8,5,8,7,4940,968,78,26.4,42.6,20,10.9
KY,LincolnCounty,7,8,7,8,6906,1740,73.9,20.9,45.5,23.3,10.2
KY,LivingstonCounty,9,8,9,8,3206,1001,70.2,17.9,45.7,26.4,10
KY,LoganCounty,6,6,6,6,8639,2748,68.3,22.8,39.9,24.3,13
KY,LyonCounty,8,7,9,9,2466,943,66.3,14.2,38.8,31.2,15.8
KY,McCrackenCounty,5,8,5,8,17808,9972,52.2,12.8,31,33.5,22.7
KY,McCrearyCounty,9,10,9,10,5275,484,85.2,29.7,38.1,24.7,7.5
KY,McLeanCounty,3,2,3,2,3632,1354,67.9,19.3,38.6,31.9,10.2
