State,Areaname,2003Rural-urbanContinuumCode,2003UrbanInfluenceCode,2013Rural-urbanContinuumCode,2013UrbanInfluenceCode,"Lessthanahighschooldiploma,1970","Highschooldiplomaonly,1970","Percentofadultswithlessthanahighschooldiploma,1970","Percentofadultswithlessthanahighschooldiploma,2010-2014","Percentofadultswithahighschooldiplomaonly,2010-2014","Percentofadultscompletingsomecollegeorassociate'sdegree,2010-2014","Percentofadultswithabachelor'sdegreeorhigher,2010-2014"
AL,WashingtonCounty,8,7,8,7,5409,1758,70.5,18,48.5,23.3,10.3
AL,WilcoxCounty,8,7,9,10,5260,1470,69.6,21.4,42.1,25,11.5
AL,WinstonCounty,6,4,6,4,6440,2136,69.1,26.2,33.3,29.4,11.1
AK,Alaska,,,,,44994,50820,33.3,8.2,27.5,36.6,27.7
AK,AleutianIslands,,,,,1237,1112,39.7,,,,
AK,AleutiansEastBorough,9,12,9,12,,,,20.5,40.4,26.5,12.6
AK,AleutiansWestCensusArea,7,11,9,11,,,,14.5,36.7,33.4,15.4
AK,AnchorageMunicipality,2,2,2,2,13711,24301,24.1,7.5,23.3,36.2,32.9
AK,BethelCensusArea,7,11,7,11,2258,229,80.6,19.8,41.7,27.2,11.4
AK,BristolBayBorough,9,12,9,12,140,209,29.2,8.8,28.6,42.4,20.2
AK,DenaliBorough,8,7,8,7,,,,9.1,26.1,35.3,29.5
AK,DillinghamCensusArea,9,12,9,12,949,191,69.5,15.6,35.8,32,16.6
AK,FairbanksNorthStarBorough,3,2,3,2,4723,7901,25,6.6,24.2,38.6,30.5
AK,HainesBorough,9,10,9,12,423,188,53.1,4.3,31.5,32.9,31.3
AK,Hoonah-AngoonCensusArea,,,9,10,,,,10.1,30.1,30.5,29.3
AK,JuneauCityandBorough,5,8,5,8,1598,2638,22.9,5.4,21.4,35.4,37.8
AK,KenaiPeninsulaBorough,7,11,7,11,2793,3165,35.1,6.7,32.4,37.6,23.3
AK,KetchikanGatewayBorough,7,8,7,8,1794,1844,35.6,7.2,33.5,34.7,24.6
AK,KodiakIslandBorough,7,8,7,11,1596,1486,39.4,9,25.7,43.7,21.6
AK,KuskokwimDivision,,,,,577,179,63.7,,,,
AK,LakeandPeninsulaBorough,9,12,9,12,,,,14.9,40.3,31.1,13.7
AK,Matanuska-SusitnaBorough,2,2,2,2,1295,1339,39.2,7.5,32.1,39.5,20.9
AK,NomeCensusArea,7,11,7,11,1625,312,69.5,15.3,42.5,27.4,14.7
